company name, positive tweets(%), negative tweets(%), neutral tweets(%)
ADEKA,6.06060606,6.06060606,87.8787878
ADVANTEST,10.0,3.33333333,86.6666666
AIR PRODUCTS & CHEMICALS,20.9302325,11.6279069,67.4418604
APPLIED MATERIALS,28.2352941,8.23529411,63.5294117
ASM INTERNATIONAL,30.7692307,5.49450549,63.7362637
AU OPTRONICS,3.84615384,19.2307692,76.9230769
BYD,20.6349206,3.17460317,76.1904761
CANON,36.0465116,3.48837209,60.4651162
CIRRUS LOGIC,24.7422680,4.12371134,71.1340206
CORNING,32.8947368,19.7368421,47.3684210
DAIFUKU,2.94117647,2.94117647,94.1176470
DAP,11.2676056,11.2676056,77.4647887
DREAMTECH,25.0,19.4444444,55.5555555
EDWARDS,31.6455696,21.5189873,46.8354430
ENTEGRIS,27.1186440,20.3389830,52.5423728
GOERTEK,50.0,50.0,0.0
HITACHI,4.87804878,1.21951219,93.9024390
INNOLUX,63.6363636,4.54545454,31.8181818
INTEL,43.75,18.75,37.5
KLA-TENCOR,14.2857142,7.14285714,78.5714285
KYOCERA,28.0487804,8.53658536,63.4146341
LAM RESEARCH,49.1803278,3.27868852,47.5409836
LOT VACUUM,58.2417582,30.7692307,10.9890109
MAXIM INTEGRATED PRODUCTS,15.1162790,3.48837209,81.3953488
MEDIATEK,14.2857142,4.76190476,80.9523809
MICRON TECHNOLOGY,18.4782608,4.34782608,77.1739130
NAMUGA,1.61290322,4.83870967,93.5483870
NXP SEMICONDUCTORS,25.8823529,4.70588235,69.4117647
PARTRON,35.7142857,14.2857142,49.9999999
POSCO,25.0,13.2352941,61.7647058
QORVO,18.6046511,1.16279069,80.2325581
ROHM,18.1818181,2.27272727,79.5454545
SAMSUNG DISPLAY,57.7319587,5.15463917,37.1134020
SAMSUNG SDI,5.45454545,20.0,74.5454545
SI FLEX,18.75,2.5,78.75
SILTRONIC,1.49253731,5.97014925,92.5373134
STMICROELECTRONICS,20.2127659,1.06382978,78.7234042
SYNAPTICS,22.9729729,18.9189189,58.1081081
TDK,3.57142857,1.78571428,94.6428571
TES,7.35294117,1.47058823,91.1764705
TEXAS INSTRUMENTS,25.0,8.33333333,66.6666666
THE DOW CHEMICAL,28.7878787,19.6969696,51.5151515
TOSHIBA,15.3846153,15.3846153,69.2307692
TRIPOD TECHNOLOGY,66.6666666,16.6666666,16.6666666
